
,, ПЕРВЫЙ  РАБОЧИЙ ДЕНЬ  РАННЕРА
,начало смены ,Подмести летнюю площадку,TRUE
,,Расставить мебель на летней площадке (индивид. обсуждать с Бариста),TRUE
,,"Проверить, чтобы не шатались столы на летней площадке",TRUE
,,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",TRUE
,,Подмести и помыть лестницу,TRUE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,TRUE

,середина смены,Проверить витрину на чистоту: протереть снаружи при необходимости,TRUE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,Протереть навесную полку над раковиной и все содержимое на ней,TRUE
,,Протереть настенное меню (если в пятнах),TRUE
,,Накрутить перчатки для онигурадзу,TRUE

,обязательно проверить,"Помыть резиновые коврики, очистить от грязи",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Протереть деревянные полки за баром с расходниками, полки с дрипами, банками чая, сиропами. А также протереть банки чая и бутылки сиропов",TRUE
,,Протереть кофейные стеллажи и упаковки зерна. Проверить ротацию упаковок,TRUE
,,"Пройтись по кофейне, убрать паутину с углов, потолка, цветов",FALSE
,,Протереть гостевую столешницу и всё содержимое на ней,TRUE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",TRUE

,в течение дня (проверять каждый час в зависимости от загруженности),"Проверка летней площадки не менее, чем раз в 1 ч",TRUE
,,"Наполнить зону бара на продажу гостям: сок, вода 0,5, батончики",TRUE
,,"Проверить товарную витрину (стеллажи) – все позиции стоят ровно  с примерно одинаковым расстоянием друг к другу
А также проверить выкладу – все позиции стоят строго по ротации
пример стеллаж 1 
пример стеллаж 2",TRUE
,,"Наполнить органайзеры с расходниками для гостей: сахар в стиках, трубочки, салфетки, размешиватель",TRUE
,,"Пополнить зону гриля на наличие расходных материалов, протереть от крошек",TRUE
,,Витрина: протереть внутри и снаружи,TRUE


,, ВТОРОЙ  РАБОЧИЙ ДЕНЬ  РАННЕРА
,начало смены ,Подмести летнюю площадку,TRUE
,,Расставить мебель на летней площадке (индивид. обсуждать с Бариста),TRUE
,,"Проверить, чтобы не шатались столы на летней площадке",TRUE
,,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",FALSE
,,Подмести и помыть лестницу,FALSE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,TRUE

,середина смены,Проверить витрину на чистоту: протереть снаружи при необходимости,TRUE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,"Проверить цветы на полив в зале и на улице, при необходимости полить
Важно! В летнюю погоду мы тщательно лейкой поливаем цветы в клумбах на летней площадке",TRUE

,обязательно проверить,Протереть вешалку с полкой при входе и плинтуса в кофейне,FALSE
,,"Протереть световые источники в кофейне, кондиционер",FALSE
,,Протереть гостевую столешницу и всё содержимое на ней,FALSE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",FALSE
,,"Помыть внутри три холодильника: 
разморозить морозилку за баром и помыть
(1 р в месяц)",TRUE
,,"Убраться на складе:
• Протереть поверхности (если пыльные)
• Разобрать коробки с расходниками и разожить всё аккуратно как на полках, так и в коробках
• С прохода всё убрать (проход должен быть свободен перед снятием остатков)",FALSE

,в течение дня (проверять каждый час в зависимости от загруженности),"Проверка летней площадки не менее, чем раз в 1 ч",FALSE
,,"Наполнить зону бара на продажу гостям: сок, вода 0,5, батончики",FALSE
