СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,ОФИЦИАНТ
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,до открытия,Протереть дверь и дверную ручку внутри и снаружи,TRUE
,,"Проверить туалетную комнату на чистоту, при необходимости помыть",TRUE
,,"Проверить все столы на чистоту, диваны и кресла на чистоту от крошек и пятен, проверить наполненность салфетниц. Подушки на диванах и креслах взбиты и лежат аккуратно",TRUE
,,Проверить полы на чистоту,TRUE
,,Проверить витрину на чистоту: протереть снаружи при необходим﻿ости,TRUE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,TRUE
,,"• Подмести зону вокруг летней площадки и саму площадку
• Проверить на чистоту полы, если грязные – помыть шваброй из котельной
*задачу желательно сделать перед тем, как Бариста расставит столы и стулья",TRUE
,,"После того, как столы и стулья на летнюю площадку расставлены: 
протереть подстолья, столы, стулья от пыли ",TRUE
,,Клумба на улице: полить (залить в нее 5 леек),TRUE
,,Проверить место с расходниками для гостей на чистоту и на наполненность,TRUE

,"После открытия 
с 8:00","Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",TRUE
,,Протереть уличный баннер (при необходимости со средством от налета),TRUE
,,"Протереть стеллаж со свечами, а также все выступы и стекла стеллажа 
(нужно выдвинуть стекла и протереть)",TRUE
,,Если стоят цветы в вазах на столах – поменять воду,FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Протереть стеллажи с пачками зерна/шоколада (напротив бара и рядом с витриной) ,TRUE

,"обед
с 10:00 до 17:00","Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают

стеллаж 1:  фото 1,  фото 2
стеллаж 2
стеллаж 3 ",TRUE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список чая, который стоит на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",TRUE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Протереть пороги лестницы,TRUE

,"вечер
с 17:00 до 21:00","Проверить график полива цветов в приложение Lyrata (на рабочем телефоне)
Полить цветы согласно графику.  Важно! Перед поливом проверь землю на сухость.

Поливаем лейкой! Для улицы используем большую лейку",TRUE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации. Актуализировать список десертов
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",TRUE
,,"Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",TRUE
,,Помыть за баром раковину и кран,TRUE
,,"Протереть витрину снаружи, а внутри по мере загрязнения. Подложки с десертами чистые и без крошек",TRUE
,,"Пополнить витрину едой / десертами 
Важно! Мы это делаем, чтобы с утра витрина выглядела изобильной и наполненной. А также это необходимо для сменщика, который после тебя открывает смену",TRUE
,,"Протереть и наполнить зону расходников для гостей, на столах пополнить салфетницы",TRUE
,,"Протереть все столы и подстолья стульев/столов, а также перегородку под большим столом на 1-м этаже. Диваны и кресла очистить от крошек и пятен. Подушки на диванах и креслах взбить и положить аккуратно
*пример как выглядят взбитые подушки на кресле 
*пример как выглядят взбитые подушки на диванах: пример 1  и  пример 2",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,"Пропылесосить ковер и пол, а также в труднодоступных местах (за креслом под лестницей) и под выдвижными ящиками стеллажа",TRUE
,,"Убрать в санузел: туалет полностью вымыт химией, залито средство в йоршик, раковина вокруг протерта от пятен и воды, зеркало и кран протерты и без разводов, диспенсенры наполнены (т/б, бум. полотенца, мыло). Пол помыть, мусорный пакет поменять",TRUE
,,"На 2-м этаже подмести и помыть полы (со средством), а также лестницу",TRUE
,,"После мытья полов – проверить ведро на чистоту, ополоснуть / помыть",TRUE
,,"Проверить наполненность зона бара на продажу гостям: сок, вода 0,5, батончики, пряники, дрипы",TRUE
,,"Вся посуда, приборы, стаканы и кружки натерты и находятся в состоянии без разводов. Расставлены по местам",TRUE


,ОФИЦИАНТ
В Т О Р Н И К,,В Т О Р Н И К
,до открытия,Протереть дверь и дверную ручку внутри и снаружи,TRUE
,,"Проверить туалетную комнату на чистоту, при необходимости помыть",TRUE
,,"Проверить все столы на чистоту, диваны и кресла на чистоту от крошек и пятен, проверить наполненность салфетниц. Подушки на диванах и креслах взбиты и лежат аккуратно",TRUE
,,Проверить полы на чистоту,TRUE
,,Проверить витрину на чистоту: протереть снаружи при необходим﻿ости,TRUE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,TRUE
,,"• Подмести зону вокруг летней площадки и саму площадку
• Проверить на чистоту полы, если грязные – помыть шваброй из котельной
*задачу желательно сделать перед тем, как Бариста расставит столы и стулья",TRUE
,,"После того, как столы и стулья на летнюю площадку расставлены: 
протереть подстолья, столы, стулья от пыли ",TRUE
,,Проверить место с расходниками для гостей на чистоту и на наполненность,TRUE

,"После открытия 
с 8:00","Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",TRUE
,,"Протереть нижний и верхний подоконник от пыли, а также всё то что стоит/лежит из декора на подоконниках",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Протереть от пыли листья всех цветов в горшках (особенно у крупных цветов и у деревцев),TRUE

,"обед
с 10:00 до 17:00","Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают

стеллаж 1:  фото 1,  фото 2,  фото 3
стеллаж 2
стеллаж 3 ",TRUE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список чая, который стоит на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Паутина: убрать вдоль стены по лестнице, на потолке и с углов, со световых источников, в дверных проемах, с цветов, навесной полки и стеллажей

*Важно! Пипидастром проходимся смахивая вдоль стен, углов и потолку. Не делаем это выборочно!",TRUE
,,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Витрина: десерты выложить по ротации. Актуализировать список десертов
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",TRUE
