СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,ОФИЦИАНТ
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,до открытия,Подмести летнюю площадку,FALSE
,,Расставить мебель (прикрепить ссылку на фото расставленных стульев),FALSE
,,Проверить чтобы не шатались столы,FALSE
,,Расставить чистые пепельницы в зону для курения,FALSE
,,"Подушки поставить в стопки, проверить на чистоту, протереть от грязи",FALSE
,,Подмести и помыть лестницу,FALSE

,После открытия с 8:00,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",FALSE
,,Проверить витрину на чистоту: протереть снаружи при необходимости ,FALSE
,,"Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",FALSE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,FALSE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,Протереть навесную полку над раковиной,FALSE
,,Протереть настенное меню (если в пятнах),FALSE

,"обед
с 10:00 до 17:00","Проверка летней площадки не менее, чем раз в 1 ч",FALSE
,,"Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают
пример стеллаж 1 
пример стеллаж 2",FALSE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список чая, который стоит на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,"Наполнить зону бара на продажу гостям: сок, вода 0,5, батончикиё",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,"Помыть резиновые коврики, очистить от грязи",FALSE
,,Накрутить перчатки для онигурадзу,FALSE

,"вечер
с 17:00 до 21:00","Принять еду, выложить по ротации",FALSE
,,"Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",FALSE
,,"Пополнить зону гриля на наличие расходных материалов, протереть от крошек",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,Витрина: протереть внутри и снаружи. Актуализировать список десертов,FALSE


,ОФИЦИАНТ
,,В Т О Р Н И К
В Т О Р Н И К,до открытия,Подмести летнюю площадку,FALSE
,,Расставить мебель (прикрепить ссылку на фото расставленных стульев),FALSE
,,Проверить чтобы не шатались столы,FALSE
,,Расставить чистые пепельницы в зону для курения,FALSE
,,"Подушки поставить в стопки, проверить на чистоту, протереть от грязи",FALSE
,,Подмести и помыть лестницу,FALSE

,После открытия с 8:00,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,Проверить витрину на чистоту: протереть снаружи при необходимости ,FALSE
,,"Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",FALSE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,FALSE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,FALSE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,"Пройтись по кофейне, убрать паутину с углов, потолка, цветов
*паутину с углов и стен убираем веником, сметая вдоль стены",FALSE
,,Протереть гостевую столешницу,FALSE
,,Проверить цветы на полив в зале и на улице,FALSE

,"обед
с 10:00 до 17:00","Проверка летней площадки не менее, чем раз в 1 ч",FALSE
,,"Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают
пример стеллаж 1 
пример стеллаж 2",FALSE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список чая, который стоит на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,"Наполнить зону бара на продажу гостям: сок, вода 0,5, батончики",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,Протереть кофейные стеллажи и упаковки зерна. Проверить ротацию упаковок,FALSE
,,Проверить зерно / шоколад / чай на стеллажах – доложить из коробок. Коробки подписать,FALSE
,,Витрина: десерты выложить по ротации. Актуализировать список по десертам,FALSE

,"вечер
с 17:00 до 21:00","Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",FALSE
,,"Пополнить зону гриля на наличие расходных материалов, протереть от крошек",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,Витрина: протереть внутри и снаружи,FALSE


,ОФИЦИАНТ
,,С Р Е Д А
С Р Е Д А,до открытия,Подмести летнюю площадку,TRUE
,,Расставить мебель (прикрепить ссылку на фото расставленных стульев),TRUE
,,Проверить чтобы не шатались столы,TRUE
,,Расставить чистые пепельницы в зону для курения,TRUE
,,"Подушки поставить в стопки, проверить на чистоту, протереть от грязи",TRUE
,,Подмести и помыть лестницу,TRUE

,После открытия с 8:00,"Протереть мебель (лавочки, столы, стулья) и подстолья / ножки стульев от пыли (на летней площадке и в зале)",TRUE
,,Проверить витрину на чистоту: протереть снаружи при необходимости ,TRUE
,,"Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Протереть входную дверь и дверную ручку с внешней и внутренней стороны,TRUE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,TRUE
,,Проверить выкладку витрины на аккуратность и красивую расстановку позиций – пример ,TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,Протереть вешалку с полкой при входе и плинтуса в кофейне,TRUE

,"обед
с 10:00 до 17:00","Проверка летней площадки не менее, чем раз в 1 ч",TRUE
,,"Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают
пример стеллаж 1 
пример стеллаж 2",TRUE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список чая, который стоит на стеллаже и сравните с наличием в коробке. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,"Наполнить зону бара на продажу гостям: сок, вода 0,5, батончики",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Протереть световые источники в кофейне, кондиционер",TRUE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",TRUE

,"вечер
с 17:00 до 21:00","Принять еду, выложить по ротации",TRUE
,,"Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",TRUE
,,"Пополнить зону гриля на наличие расходных материалов, протереть от крошек",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,Витрина: протереть внутри и снаружи. Актуализировать список десертов,TRUE


,ОФИЦИАНТ
,,Ч Е Т В Е Р Г
Ч Е Т В Е Р Г,до открытия,Подмести летнюю площадку,FALSE
,,Расставить мебель (прикрепить ссылку на фото расставленных стульев),FALSE
,,Проверить чтобы не шатались столы,FALSE
,,Расставить чистые пепельницы в зону для курения,FALSE
,,"Подушки поставить в стопки, проверить на чистоту, протереть от грязи",FALSE
,,Подмести и помыть лестницу,FALSE

