СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,БАРИСТА
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,до открытия,Выключить сигнализацию,TRUE
,,Включить освещение на двух этажах,TRUE
,,Включить все гирлянды на спокойный режим без мерцания,TRUE
,,Проверить чистоту зала,TRUE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",TRUE
,,"Включить кофемашину, гриндер, микроволновая печь, блендер, чайник, кофемолка, запущен ледогенератор",TRUE
,,Открыть смену,TRUE
,,Включить музыку,TRUE
,,"Расставить столы и стулья на площадку, протереть поверхности ",TRUE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,TRUE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",TRUE
,,"Составить заявку в чат кофейни ""Перемещение"" до 12:00",TRUE
,,Заявка по десертам до 11:00 ,TRUE

,"обед
с 10:00 до 17:00",Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,TRUE
,,"Протереть гостевую зону по продаже чая / дрипов / пряников. А также всё содержимое на ней (подставки, дрипы, шоколад, банку с фрешом, чаи в пачках) и протереть за кофемашиной",TRUE
,,Протереть навесную полку и содержимое на ней: банки с чаем,TRUE
,,Протереть бутылки с сиропами,TRUE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации.
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",TRUE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря,TRUE
,,Проконтролировать полив цветов Официантом по приложению Lyrata (все цветы согласно графику политы и проставлены галочки в приложении),TRUE
,,"* проверить чек-лист Раннера 
* в чат учет времени раннера написать время работы и сумму з/п ",TRUE
,,После отключения кофемашины убрать стаканы и протереть поверхность от пыли,TRUE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода
* дверцы металлических шкафов",TRUE
,,"В конце смены собрать столы и стулья, занести в кофейню. Проверить состояние стульев и столов, при необходимости сообщить в группу telegram кофейня «Вкусный кофе», чат ""Поломано"" тегнув шефа",TRUE
,,Застирать тряпки от стимера и для рабочих поверхностей,TRUE
,,"В холодильник выставлено: молоко, сливки, альт. молоко, соки, вода газ/не газ и боржоми",TRUE
,,"На 1-м этаже: 
* За баром подмести, убраться в зоне мусорки напротив раковины (вокруг убрать мусор, подмести и вымыть полы под вертикальным стеллажом)
* Вымыть пол за баром и в зале",TRUE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",TRUE
