СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,БАРИСТА
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,до открытия,Выключить сигнализацию,FALSE
,,Включить освещение на двух этажах,FALSE
,,Включить все гирлянды на спокойный режим без мерцания,FALSE
,,Проверить чистоту зала,FALSE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",FALSE
,,"Включить кофемашину, гриндер, микроволновая печь, блендер, чайник, кофемолка, запущен ледогенератор",FALSE
,,Открыть смену,FALSE
,,Включить музыку,FALSE
,,"Расставить столы и стулья на площадку, протереть поверхности ",FALSE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,FALSE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",FALSE
,,"Составить заявку в чат кофейни ""Перемещение"" до 12:00",FALSE
,,Заявка по десертам до 11:00 ,FALSE

,"обед
с 10:00 до 17:00",Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,FALSE
,,"Протереть гостевую зону по продаже чая / дрипов / пряников. А также всё содержимое на ней (подставки, дрипы, шоколад, банку с фрешом, чаи в пачках) и протереть за кофемашиной",FALSE
,,Протереть навесную полку и содержимое на ней: банки с чаем,FALSE
,,Протереть бутылки с сиропами,FALSE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации.
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",FALSE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря,FALSE
,,Проконтролировать полив цветов Официантом по приложению Lyrata (все цветы согласно графику политы и проставлены галочки в приложении),FALSE
,,"* проверить чек-лист Раннера 
* в чат учет времени раннера написать время работы и сумму з/п ",FALSE
,,После отключения кофемашины убрать стаканы и протереть поверхность от пыли,FALSE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода
* дверцы металлических шкафов",FALSE
,,"В конце смены собрать столы и стулья, занести в кофейню. Проверить состояние стульев и столов, при необходимости сообщить в группу telegram кофейня «Вкусный кофе», чат ""Поломано"" тегнув шефа",FALSE
,,Застирать тряпки от стимера и для рабочих поверхностей,FALSE
,,"В холодильник выставлено: молоко, сливки, альт. молоко, соки, вода газ/не газ и боржоми",FALSE
