    К О Ф Е 
Американо,,,,Большой американо,,,,Эспрессо,,,,Доппио
Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
Зерно бункер,"10,5",гр,,Зерно бункер,19,гр,,Зерно бункер,"10,5",гр,,Зерно бункер,19,гр
выход,"10,5",гр,,выход,19,гр,,выход,"10,5",гр,,выход,19,гр

"Американо – это эспрессо с добавлением горячей воды. 
Маленький будет объемом 100 мл, то есть 20 мл эспрессо и 80 воды

*по желанию гостя мы можем приготовить декаф американо",,,,"Большой американо 200 мл, то есть двойной Американо: 40 мл эспрессо и 160 воды

*по желанию гостя мы можем приготовить декаф американо",,,,"Эспрессо – это маленький напиток, объемом 20 мл. Основа всех кофейных напитков нашей кофейни, за исключением дрип кофе, кофе ссср",,,,Доппио – это двойной эспрессо


Капучино,,,,Большой Капучино,,,,Латте,,,,Флетуайт
Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
Зерно бункер,"10,5",гр,,Зерно бункер,19,гр,,Зерно бункер,"10,5",гр,,Зерно бункер,19,гр
Молоко,190,гр,,Молоко,290,гр,,Молоко,300,гр,,Молоко,200,гр
выход,"200,5",гр,,выход,309,гр,,выход,"310,5",гр,,выход,219,гр

"Капучино – это молочный напиток на основе эспрессо, который будет очень ярко насыщен кофе, а также будет содержать молоко с самым большим количеством пены

*по желанию гостя мы можем приготовить декаф капучино",,,,,,,,"Латте – это молочный напиток, который у нас в кофейне продается только в одном объеме (350 мл). Латте с итальянского переводится как молоко, поэтому этот напиток будет максимально сливочного вкуса / максимально молочным

*по желанию гостя мы можем приготовить декаф латте",,,,"Флетуайт – ближайшая аналогия для этого напитка маленький Латте, но с двойной порцией кофе. Флэтуайт переводится как ""гладкий белый"", поэтому этот напиток с самым маленьким содержанием пены, и он более насыщен по кофе, чем капучино

*по желанию гостя мы можем приготовить декаф флетуайт"


Кедровый М,,,,Кедровый Б,,,,Раф классика,,,,Хорнет Горячий
Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения,,Ингредиенты,Вес,Ед. измерения
Зерно бункер,"10,5",гр,,Зерно бункер,"10,5",гр,,Зерно бункер,19,гр,,Зерно бункер,20,гр
Молоко,180,гр,,Молоко,290,гр,,Сливки,270,гр,,Сироп карамельный,20,гр
Кедровые орешки,8,гр,,Кедровые орешки,15,гр,,Тростниковый сахар,6,гр,,"Сок (на выбор, гранат, апельсин, вишня)",300,гр
выход,"198,5",гр,,выход,"315,5",гр,,Ванильный сахар,6,гр,,выход,340,гр
,,,,,,,,выход,301,гр

"Кедровый М / Б – это кедровый Латте маленького и большого объема с добавлением кедрового ореха.
Также мы можем предложить гостю сделать капучино с кедровыми орешками. 
Разница Кедровый М с Кедровый Б в том, что Кедровый М по крепости как капучино, а Кедровый Б по крепости как Латте. ",,,,,,,,"Раф – это кофейный напиток на основе сливок. У нас он готовится полностью из сливок на двойном эспрессо, с добавлением тростникового и ванильного сахара (по желанию гостя)

*по желанию гостя мы можем приготовить декаф раф",,,,"Хорнет – это напиток на основе сока, в который идет один либо два эспрессо в зависимости от объема, и добавляется сироп (по желанию гостя)
"
