,РАННЕР
,,П О Н Е Д Е Л Ь Н И К
,"начало смены 

","Проверить туалет на чистоту, при необходимости помыть",FALSE
,,"Витрина: 
• Проверить на чистоту: протереть снаружи при необходимости
• Проверить в витрине еду на сбор конденсата, протереть при необходимости, либо поменять местами позиции (поставив нижний на верхний)
• Все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю.
пример, как должна выглядеть витрина",FALSE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",FALSE
,,"Входная зона:
• Протереть фасад / окна с внешней стороны
• Протереть входную дверь с ручкой внешне/изнутри 
• Протереть лампочки на фасаде",FALSE
,,"Уличная зона:
• Убрать окурки
• Протереть уличные подоконники
• Убрать клумбы (если в них есть мусор)
• Подмести у входа ",FALSE

,"середина смены

","Помыть окна с внутренней стороны (при отсутствии гостей в залах)
*внимательнее к разводам! мыть окна лучше всего только новой чистой тряпкой",FALSE
,,"Протереть барную зону: полка с дрипами, горячим шоколадом
полка с соком, водой, пряниками",FALSE
,,Протереть черные полки за баром – лицевая часть гостя,FALSE
,,Протереть навесные полки во всех залах и за баром,FALSE
,,Запросить у Бариста список по сборке перемещения в другие кофейни. Собрать перемещение четко по списку,FALSE
,,Протереть лицевую часть бара,FALSE
,,Накрутить перчатки для онигурадзу,FALSE
,,Протереть настенное меню и полку с сиропами и банками чая,FALSE

,"

в течение дня (проверять каждый час в зависимости от загруженности)","Проверить товарную витрину (стеллажи с кофе) на правильную сортировку по ротации, а также на аккуратность.
Все упаковки стоят ровно с примерно одинаковым расстоянием друг к другу
пример стеллаж 1 
пример стеллаж 2",FALSE
,,Помыть посуду по мере необходимости,FALSE
,,"Выполнить мелкие поручения (доставка зерна, покупка продуктов)
*при необходимости будет поставлена задача от Бариста",FALSE
,,"Очистить кресла от крошек 
*важно очищать в местах зазоров, где спинка переходит в седушку",FALSE
,,"Проверить витрину на чистоту, протереть витрину снаружи, а внутри по мере загрязнения ",FALSE
