Наименование,Контур,Саби престо
Тариф / 12 мес,"Премиум / 70 375 руб

Что входит?
Номенклатура: 
• База рецептов                        
• Каталог ингредиентов, блюд и товаров                        
• Печать ценников, этикеток, штрихкодов                        
• Выгрузка и печать меню с КБЖУ                        
• Разное меню для заведений                        
• Технологические карты (ТК и ТТК) блюд, заготовок и полуфабрикатов                        
• Расчет КБЖУ и потерь при разных способах обработки        
                        
Учет и производство:
• Наценка к закупочной цене                        
• Работа с товарными накладными и актами                        
• Автозаполнение товароучетных накладных на основе документов из ЕГАИС, ФГИС «Меркурий» и Честного знака                         
• Списание ингредиентов                        
• Производство блюд и заготовок                        
• Перемещение товаров и ингредиентов между точками                        
• Предупреждение об истечении срока годности                        
• Контроль наличия продуктов с учетом минимальных остатков и среднего расхода                        
• Инвентаризация                        
• Распознавание фото и сканов накладных (ТОРГ-12, счетов-фактур, ТТН, УПД)                        
• Автозаполнение товароучетных накладных на основе чеков                        
• Импорт накладных из Excel                        

Работа с сотрудниками:
• Справочник сотрудников                        
• График работы

Работа с гостями и лояльностью:
• Подарочные сертификаты                        
• Акция «Счастливые часы» (скидка на категорию или конкретные товары/блюда в определенный промежуток времени)       
• База клиентов и история покупок                        
• Импорт, экспорт и анализ клиентской базы                        
• Фиксированные скидки                
• Накопительные скидки        
• Бонусная система        
• Отправка смс по клиентской базе                 

Отчеты и аналитика
• Отчет о продажах                        
• АВС-анализ продаж и советы по оптимизации меню (с анализом прибыли)                        
• Остатки и движение ингредиентов                        
• Расчет прибыли и рентабельности по продажам за период                        
• Отчет об отработанном времени сотрудников                        
• Аналитика по системе лояльности в отчетах        
• Конструктор отчетов Yandex DataLens по нескольким точкам одной организации 

Управленческий учет
• Расходы по статьям: аренда, коммунальные платежи, ФОТ, оплата поставщикам, реклама и т.д.                        
• Прибыль и рентабельность бизнеса за период                        
• Сумма доступных денег: наличные в кассе, все наличные, все деньги на р/с                        
• Расходы по контрагентам                        
• Настройка интеграции с банком для автозагрузки выполненных банковских операций 

Настройки прав доступа пользователей
• Управление торговыми точками, привязка оплат, создание ролей                        
• Управление организацией, распределение прав доступа к документам, кассам, отчетам и другим разделам

Работа на кассе
• Модуль Контур.Маркета для кассы                        
• Продажа товаров и блюд из каталога                        
• Кнопки-плитки для быстрого добавления позиции в чек                        
• Добавление модификации к блюду                        
• Скидка на позицию или сумму чека                        
• Возвраты, чеки коррекции                        
• Отложенные чеки                        
• Типы оплат: наличные, по карте, смешанная, по QR-коду (система быстрых платежей СБП — только для клиентов на РКО в «Т-Банке»)                         
• Прием и зачет авансов, предоплаты, сертификатов                        
• Поддержка двух систем налогообложения                        
• Просмотр данных любой смены (продажи, возвраты, позиции)                        
• Запрет продажи товаров и блюд при нулевом остатке                        
• Просмотр остатка на кассе                        
• Настройки доступных действий на кассе можно ограничивать                        
• Добавление клиента на кассе        
• Применение системы лояльности на кассе        
• Автоотправка электронных чеков по контактам из базы клиентов

Обслуживание гостей
• Работа с заказами по столам                        
• Пречек для расчета за столом                        
• Разделение чеков по гостям                        
• Печать заказа на кухне по цехам

Онлайн-меню
• Настройка информации о заведении                        
• Получение категорий блюд и списка блюд из Контур.Маркета                        
• Редактирование категорий, карточек блюд и типов цен по способам выдачи заказа (в зале, доставка, навынос)                        
• Настройка в заказе дополнительных опций блюда (модификаторов)                        
• Настройки нескольких стоп-листов по способам выдачи с заказа (в зале, доставка, навынос)                        
• Создание информационного QR-меню без возможности заказа                        
• Публикация меню с карточками блюд на домене kontur.ru с возможностью сделать заказ (в зале, доставка, навынос)                        
• Прием по QR-коду заказов на стол, сделанных в заведении                        
• Инструменты обработки заказов, поступивших с сайта, витрины                        
• Управление графиком работы заведения по доставке                        
• Отчеты о суммах заказов по дням или за период с разбивкой по способам выдачи заказа (в зале, доставка, навынос)                        
• Прием электронных чаевых по QR-меню, размещенном в заведении

Работа с поставщиками
• Определение потребности в товаре (прогноз на основании минимального остатка или среднего расхода за период)                        
• Данные о предыдущих поставщиках и ценах                        
• Формирование заказов поставщикам, скачивание в формате Excel для отправки любым способом

Интеграция с Контур.Бухгалтерией
• Получение суммового отчета о розничной реализации                        
• Получение приходных накладных        
                
Поддержка (Чат, почта, расширенная поддержка по телефону)","Базовый / 20 000 руб

Что входит?
• Учет продаж и касса
Открытие и закрытие кассовых смен, прием оплаты наличными или банковской картой, внесение и изъятие наличных в течение смены, снятие X-отчета и Z-отчета. Работа с отложенным чеком. Статистика по кассовым сменам – итоги по видам оплат, суммам продаж и возвратов. Поддержка ОФД и отправка чеков клиенту. Лицензия ОФД приобретается отдельно.

• Каталог блюд и меню
Создание каталога блюд вручную, загрузка из Excel, 1С, SAP, Store House или использование уже готовой базы рецептов Presto. По каждому блюду можно добавить фото, единицы измерения, состав, время и процесс приготовления, а также настроить расчет калорийности. Формирование вариантов меню по заведениям, времени действия и тематике – вечернее, для бизнес-ланчей или для банкетов.

• Складской учет и выпуск блюд
Приход и списание с одного склада или приход на промежуточный склад и выдача с него продуктов в заведение. Перемещение, переоценка. Инвентаризация по всему складу или по отдельному каталогу. Разделение блюд между участками производства. Планы производства. Отчеты по продажам, закупкам, оборотная ведомость, остатки на дату.

• Распознавание первички
В тариф Базовый и Оптимальный включено распознавание 120 первичных документов в год, в тарифе Профи – распознавание первичных документов не ограничено.

• Скидки, акции
Настройка скидок – ручных и автоматических, в процентах или в виде фиксированной суммы. Привязка к конкретному заведению, срокам, списку блюд и видам оплаты. Скидки от количества товаров или суммы покупки. Условий может быть несколько и с разным порогом.

• Обмен с Меркурием
Прием и гашение ветеринарных сопроводительных документов (ВСД) по продукции животного происхождения. Электронная подпись для регистрации в системе Меркурий не входит в тарифы и приобретается отдельно.

• Стоп-лист по блюдам
Список блюд, которые временно не могут быть приготовлены для конкретного заведения. Индикация блюд из стоп-листа в меню, отображение оставшегося количества порций. Статистика – какие блюда чаще всего попадают в стоп-лист, и сколько времени они там находятся.


"
ОФД,4500 руб / 12 мес,4500 руб / 15 мес 
ФН ,"21600 руб / 36 мес 
+ замена 2000 руб","12800 руб / 15 мес
20000 руб / 36 мес"
Меркурий / 12 мес,2800  руб ,входит в тариф
Маркировка (ЧЗ)  / 12 мес,4200 руб ,3000 руб
Программа лояльности,входит в тариф,"8000 руб / 1 точка
дополнительная точка 4 000 руб

Использование бонусной, реферальной и скидочной программ лояльности для увеличения продаж. Настройка правил начисления, списания бонусов, использования промокодов. Анализ выручки. Дисконтные карты."
Гостевой WiFi,–,"5000 руб / за подкл. одного роутер

Авторизация по входящему бесплатному звонку. Конструктор страницы входа — вы можете добавить название заведения, фон, рекламу. Сбор клиентских номеров для рассылок. Цена за 1 роутер, сам роутер приобретается отдельно."
Персонал (учет времени) / 12 мес,–,"6000 руб / 12 мес

• Контроль приходов/уходов сотрудников
• Настройка любых графиков работы: жестких, сменных, гибких и др.
• Оповещения о нарушениях рабочего графика
• Учет отгулов, переработок, отпусков и больничных
• Графики отпусков по сотрудникам, отделам
• Электронные календари: рабочие, личные, общие
• Автоматическое заполнение табеля для расчета зарплаты
• Учет рабочего времени по 25 сотрудникам"
Интернет-магазин,отсутствует интеграция с тильдой,"15 000 руб / 12 мес
аналогичная стоимость тильды в год"
"
Экран повара, контроль времени приготовления (кухонный модуль)",–,5000 руб / 12 мес
