СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,БАРИСТА
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,до открытия,Выключить сигнализацию,TRUE
,,Включить освещение,TRUE
,,Включить гирлянды на спокойный режим без мерцания,TRUE
,,Проверить чистоту зала,TRUE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",TRUE
,,Включить кофемашину,TRUE
,,Открыть смену,TRUE
,,Включить музыку,TRUE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,TRUE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",TRUE
,,Заявка по десертам до 11:00 ,TRUE

,"обед
с 10:00 до 17:00",Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,TRUE
,,Протереть настенное меню и полку с сиропами и банками чая,TRUE
,,"Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой:

Если на смене Раннер, то поставить ему задачу по сборке перемещение (передать ему список). После сборки Раннером обязательно (!) проверить по списку",TRUE
,,"Проверить за Официантом выполнение задач: 
• Собрано перемещение для Самокиша и Луговой
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",TRUE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",TRUE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря,TRUE
,,После отключения кофемашины убрать стаканы и протереть поверхность от пыли,TRUE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода
",TRUE
,,Застирать тряпки от стимера и для рабочих поверхностей,TRUE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",TRUE
,,"Поставить на заряд кассовые терминалы, настольную лампу, телефон (если он разряжен)",TRUE
,,Проверить заднюю дверь и окно на закрытие,TRUE
,,"Собрать и выкинуть весь мусор, включая в персональском туалете",TRUE
,,Отправить отчет руководителю (обязательно голосовое),TRUE
,,"Дихлофос: обработать в основном зале все углы, пространство за ледогенератором и по периметру",TRUE
,,Включить сигнализацию,TRUE


,БАРИСТА
В Т О Р Н И К,,В Т О Р Н И К
,до открытия,Выключить сигнализацию,TRUE
,,Включить освещение,TRUE
,,Включить гирлянды на спокойный режим без мерцания,TRUE
,,Проверить чистоту зала,TRUE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",TRUE
,,Включить кофемашину,TRUE
,,Открыть смену,TRUE
,,Включить музыку,TRUE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,TRUE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",TRUE
,,Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,TRUE

,"обед
с 10:00 до 17:00","Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой:

Если на смене Раннер, то поставить ему задачу по сборке перемещение (передать ему список). После сборки Раннером обязательно (!) проверить по списку",TRUE
,,"Проверить за Официантом выполнение задач: 
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",TRUE
,,Чистка гриндера на баре,TRUE

,"вечер
с 17:00 до 21:00",При составлении заявки в чат «Кухня» проверить все допники (соусы) и написать лишнее кол-во в заявку,TRUE
,,Замыть кофемашину и кофейного инвентаря,TRUE
